"abandoned" ;"duration" ;"re_evaluation" ;"kb_1" ;"kb_2" ;"kb_3" ;"kb_4" ;"kb_5" ;"kb_6" ;"kb_7" ;"kb_8" ;"kb_9" ;"kb_10" ;"ms_1" ;"ms_2" ;"ms_3" ;"ms_4" ;"ms_5" ;"ms_6" ;"ms_7" ;"ms_8" ;"ms_9" ;"ms_10" ;"sc_1" ;"sc_2" ;"sc_3" ;"sc_4" ;"sc_5" ;"sc_6" ;"sc_7" ;"sc_8" ;"sc_9" ;"sc_10" ;"kb_bin_1" ;"kb_bin_2" ;"kb_bin_3" ;"kb_bin_4" ;"kb_bin_5" ;"kb_bin_6" ;"kb_bin_7" ;"kb_bin_8" ;"kb_bin_9" ;"kb_bin_10" ;"ms_bin_1" ;"ms_bin_2" ;"ms_bin_3" ;"ms_bin_4" ;"ms_bin_5" ;"ms_bin_6" ;"ms_bin_7" ;"ms_bin_8" ;"ms_bin_9" ;"ms_bin_10" ;"sc_bin_1" ;"sc_bin_2" ;"sc_bin_3" ;"sc_bin_4" ;"sc_bin_5" ;"sc_bin_6" ;"sc_bin_7" ;"sc_bin_8" ;"sc_bin_9" ;"sc_bin_10" ;"page_ac" ;"tab_hd"
"1" ;0 ;46.4659998416901 ;"1" ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;0 ;0
"2" ;0 ;74.8140001296997 ;"1" ;0 ;0 ;0 ;0 ;0.0666666666666667 ;0.0666666666666667 ;0.0666666666666667 ;0.133333333333333 ;0.0666666666666667 ;0.133333333333333 ;0.0666666666666667 ;0.0666666666666667 ;0.133333333333333 ;0.0666666666666667 ;0.133333333333333 ;0.0666666666666667 ;0.0666666666666667 ;0.0666666666666667 ;0.0666666666666667 ;0.133333333333333 ;0 ;0 ;0.0666666666666667 ;0.0666666666666667 ;0.133333333333333 ;0.0666666666666667 ;0.0666666666666667 ;0.0666666666666667 ;0.0666666666666667 ;0.133333333333333 ;0 ;0 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"3" ;0 ;455.206000089645 ;"1" ;0 ;0.032967032967033 ;0.032967032967033 ;0.043956043956044 ;0.0549450549450549 ;0.032967032967033 ;0.032967032967033 ;0.021978021978022 ;0.0659340659340659 ;0.0769230769230769 ;0.0989010989010989 ;0.0989010989010989 ;0.0879120879120879 ;0.0879120879120879 ;0.0879120879120879 ;0.0549450549450549 ;0.0989010989010989 ;0.0659340659340659 ;0.0879120879120879 ;0.0989010989010989 ;0.021978021978022 ;0.0879120879120879 ;0.0879120879120879 ;0.0879120879120879 ;0.0659340659340659 ;0.043956043956044 ;0.0549450549450549 ;0.021978021978022 ;0.0659340659340659 ;0.0659340659340659 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"4" ;0 ;84.0409998893738 ;"1" ;0 ;0.0588235294117647 ;0.0588235294117647 ;0.117647058823529 ;0.117647058823529 ;0.0588235294117647 ;0.117647058823529 ;0 ;0.0588235294117647 ;0.117647058823529 ;0.0588235294117647 ;0.117647058823529 ;0.0588235294117647 ;0.117647058823529 ;0.117647058823529 ;0.0588235294117647 ;0.117647058823529 ;0.0588235294117647 ;0.117647058823529 ;0.117647058823529 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.117647058823529 ;0.117647058823529 ;0.0588235294117647 ;0.117647058823529 ;0.0588235294117647 ;0.117647058823529 ;0.0588235294117647 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"5" ;0 ;348.944999933243 ;"1" ;0.0857142857142857 ;0.0714285714285714 ;0.0571428571428571 ;0.0714285714285714 ;0.0285714285714286 ;0.1 ;0.0714285714285714 ;0.0285714285714286 ;0.0857142857142857 ;0.0714285714285714 ;0.0142857142857143 ;0 ;0.1 ;0.0571428571428571 ;0.0571428571428571 ;0.0714285714285714 ;0.0714285714285714 ;0.0428571428571429 ;0.0857142857142857 ;0.0571428571428571 ;0.0285714285714286 ;0 ;0.0571428571428571 ;0.0857142857142857 ;0.0285714285714286 ;0.0285714285714286 ;0.0428571428571429 ;0.0285714285714286 ;0.0857142857142857 ;0.0571428571428571 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"6" ;0 ;14.4660000801086 ;"0" ;0 ;0 ;0 ;0 ;0.333333333333333 ;0 ;0 ;0 ;0 ;0.333333333333333 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.333333333333333 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
"7" ;0 ;181.1859998703 ;"1" ;0.0555555555555556 ;0.0833333333333333 ;0.0833333333333333 ;0.0833333333333333 ;0.0555555555555556 ;0.0833333333333333 ;0.0833333333333333 ;0.0277777777777778 ;0 ;0.0833333333333333 ;0.0833333333333333 ;0.111111111111111 ;0.0833333333333333 ;0.111111111111111 ;0.0833333333333333 ;0.111111111111111 ;0.0833333333333333 ;0.0833333333333333 ;0.0833333333333333 ;0.111111111111111 ;0.0833333333333333 ;0.0833333333333333 ;0.0555555555555556 ;0.111111111111111 ;0.0555555555555556 ;0.111111111111111 ;0.0555555555555556 ;0.0833333333333333 ;0.0833333333333333 ;0.0833333333333333 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"8" ;0 ;82.018000125885 ;"1" ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.117647058823529 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.117647058823529 ;0 ;0.0588235294117647 ;0.117647058823529 ;0.0588235294117647 ;0.117647058823529 ;0.0588235294117647 ;0.0588235294117647 ;0.117647058823529 ;0.0588235294117647 ;0.117647058823529 ;0 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;0
"9" ;0 ;5.70500016212463 ;"0" ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
"10" ;0 ;13.0529999732971 ;"0" ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.5 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
"11" ;0 ;105.884999990463 ;"1" ;0 ;0 ;0 ;0 ;0.0476190476190476 ;0.0952380952380952 ;0.0952380952380952 ;0.0952380952380952 ;0.0952380952380952 ;0.0952380952380952 ;0 ;0 ;0 ;0 ;0.0476190476190476 ;0 ;0.0952380952380952 ;0.0476190476190476 ;0.0476190476190476 ;0.0476190476190476 ;0 ;0 ;0 ;0 ;0.0476190476190476 ;0 ;0 ;0.0476190476190476 ;0.0476190476190476 ;0.0476190476190476 ;0 ;0 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;0 ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;1 ;1 ;1 ;0 ;0
"12" ;0 ;179.539000034332 ;"1" ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0540540540540541 ;0.108108108108108 ;0.0810810810810811 ;0.0540540540540541 ;0.0540540540540541 ;0 ;0 ;0.0540540540540541 ;0.027027027027027 ;0.0810810810810811 ;0.0810810810810811 ;0.108108108108108 ;0.0540540540540541 ;0.0540540540540541 ;0.027027027027027 ;0 ;0 ;0.027027027027027 ;0.0810810810810811 ;0.027027027027027 ;0.027027027027027 ;0.027027027027027 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"13" ;1 ;117.976999998093 ;"-10" ;0 ;0 ;0.0869565217391304 ;0.0434782608695652 ;0.0869565217391304 ;0.0434782608695652 ;0 ;0.0434782608695652 ;0 ;0.0434782608695652 ;0 ;0 ;0.0869565217391304 ;0.0869565217391304 ;0.0434782608695652 ;0.0434782608695652 ;0.0869565217391304 ;0.0434782608695652 ;0 ;0.0869565217391304 ;0.0869565217391304 ;0.0869565217391304 ;0.0869565217391304 ;0.0434782608695652 ;0.0869565217391304 ;0.0434782608695652 ;0.0434782608695652 ;0.0869565217391304 ;0.0869565217391304 ;0.0869565217391304 ;0 ;0 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"14" ;0 ;281.40499997139 ;"1" ;0 ;0 ;0.0517241379310345 ;0 ;0.0689655172413793 ;0.0517241379310345 ;0.0517241379310345 ;0.0344827586206897 ;0.0344827586206897 ;0.0517241379310345 ;0.0689655172413793 ;0.0862068965517241 ;0.103448275862069 ;0.0862068965517241 ;0.0862068965517241 ;0.0862068965517241 ;0.0689655172413793 ;0.0862068965517241 ;0.103448275862069 ;0.0862068965517241 ;0.0517241379310345 ;0.0862068965517241 ;0.0689655172413793 ;0.0862068965517241 ;0.0517241379310345 ;0.0862068965517241 ;0.0517241379310345 ;0.0862068965517241 ;0.103448275862069 ;0.0517241379310345 ;0 ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"15" ;0 ;43.914999961853 ;"1" ;0 ;0 ;0 ;0.111111111111111 ;0 ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;0.111111111111111 ;0.111111111111111 ;0.111111111111111 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;1 ;1 ;1 ;1 ;0 ;0 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;0 ;0 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;0 ;0
"16" ;0 ;17.0120000839233 ;"0" ;0 ;0 ;0 ;0 ;0.333333333333333 ;0 ;0 ;0 ;0 ;0.333333333333333 ;0 ;0 ;0 ;0 ;0.333333333333333 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
"17" ;0 ;133.84099984169 ;"1" ;0 ;0.037037037037037 ;0.037037037037037 ;0.0740740740740741 ;0.111111111111111 ;0.0740740740740741 ;0.111111111111111 ;0.0740740740740741 ;0 ;0.037037037037037 ;0 ;0.111111111111111 ;0.037037037037037 ;0.037037037037037 ;0.037037037037037 ;0.037037037037037 ;0.0740740740740741 ;0.037037037037037 ;0.0740740740740741 ;0.111111111111111 ;0 ;0.0740740740740741 ;0.037037037037037 ;0.0740740740740741 ;0.037037037037037 ;0.037037037037037 ;0.0740740740740741 ;0.037037037037037 ;0.0740740740740741 ;0.0740740740740741 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"18" ;0 ;92.2249999046326 ;"1" ;0 ;0.111111111111111 ;0.111111111111111 ;0 ;0.111111111111111 ;0.0555555555555556 ;0.111111111111111 ;0.0555555555555556 ;0.111111111111111 ;0.111111111111111 ;0.0555555555555556 ;0.0555555555555556 ;0.111111111111111 ;0.0555555555555556 ;0.0555555555555556 ;0.111111111111111 ;0.111111111111111 ;0.0555555555555556 ;0.111111111111111 ;0.111111111111111 ;0.0555555555555556 ;0.0555555555555556 ;0.111111111111111 ;0.0555555555555556 ;0.0555555555555556 ;0.111111111111111 ;0.111111111111111 ;0.0555555555555556 ;0.111111111111111 ;0 ;0 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;0
"19" ;0 ;60.0820000171661 ;"1" ;0.0769230769230769 ;0.0769230769230769 ;0.0769230769230769 ;0.0769230769230769 ;0.153846153846154 ;0.0769230769230769 ;0 ;0 ;0.0769230769230769 ;0.153846153846154 ;0.0769230769230769 ;0.0769230769230769 ;0.0769230769230769 ;0.0769230769230769 ;0.153846153846154 ;0.0769230769230769 ;0.0769230769230769 ;0.0769230769230769 ;0.0769230769230769 ;0.153846153846154 ;0.0769230769230769 ;0.0769230769230769 ;0.0769230769230769 ;0 ;0.153846153846154 ;0.0769230769230769 ;0.0769230769230769 ;0.0769230769230769 ;0.0769230769230769 ;0.0769230769230769 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"20" ;0 ;71.9749999046326 ;"1" ;0 ;0.0714285714285714 ;0.0714285714285714 ;0.142857142857143 ;0.0714285714285714 ;0 ;0.142857142857143 ;0 ;0.0714285714285714 ;0.142857142857143 ;0.0714285714285714 ;0.0714285714285714 ;0.0714285714285714 ;0.142857142857143 ;0.0714285714285714 ;0.0714285714285714 ;0.142857142857143 ;0.0714285714285714 ;0.0714285714285714 ;0.0714285714285714 ;0.0714285714285714 ;0.0714285714285714 ;0.0714285714285714 ;0.0714285714285714 ;0.0714285714285714 ;0.0714285714285714 ;0.142857142857143 ;0.0714285714285714 ;0.0714285714285714 ;0.0714285714285714 ;0 ;1 ;1 ;1 ;1 ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"21" ;0 ;91.4879999160767 ;"1" ;0.05 ;0.05 ;0 ;0.1 ;0.1 ;0.1 ;0.05 ;0.05 ;0.05 ;0.05 ;0.05 ;0.1 ;0.1 ;0.05 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.05 ;0.1 ;0.1 ;0.05 ;0.1 ;0.1 ;0.1 ;0.05 ;0.1 ;0.05 ;1 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0
"22" ;0 ;87.2929999828339 ;"1" ;0 ;0.117647058823529 ;0 ;0.117647058823529 ;0.0588235294117647 ;0 ;0.0588235294117647 ;0 ;0.117647058823529 ;0 ;0.0588235294117647 ;0.117647058823529 ;0.0588235294117647 ;0.117647058823529 ;0.117647058823529 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.117647058823529 ;0.117647058823529 ;0.0588235294117647 ;0.0588235294117647 ;0.0588235294117647 ;0.117647058823529 ;0.117647058823529 ;0.0588235294117647 ;0.0588235294117647 ;0 ;0.0588235294117647 ;0.117647058823529 ;0 ;1 ;0 ;1 ;1 ;0 ;1 ;0 ;1 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;1 ;1 ;0 ;0
"23" ;0 ;53.882000207901 ;"1" ;0 ;0 ;0 ;0.0909090909090909 ;0.0909090909090909 ;0.0909090909090909 ;0.0909090909090909 ;0.0909090909090909 ;0.0909090909090909 ;0.0909090909090909 ;0.0909090909090909 ;0.0909090909090909 ;0.0909090909090909 ;0.0909090909090909 ;0.0909090909090909 ;0 ;0 ;0 ;0 ;0 ;0.0909090909090909 ;0.0909090909090909 ;0 ;0 ;0 ;0 ;0 ;0 ;0.0909090909090909 ;0.0909090909090909 ;0 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;1 ;0 ;0
